                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.48743,                0.67276,                0.64908,                0.91545,                0.15666,                0.18889,                0.14476,                0.11728,                0.15666,                0.18889,                0.14214,                 0.1194,                0.92255,                 2.5405,                 3.4357,                   1.15,              0.0005743,              0.0005743,              0.0005743
                     89,                0.48978,                0.69401,                0.64788,                 0.9112,                0.16419,                 0.2321,                0.14314,                0.11613,                0.15768,                 0.2242,                0.14174,                 0.1147,                0.95081,                 2.5706,                 3.3509,                 1.1436,             0.00056935,             0.00056935,             0.00056935
                     90,                0.48324,                0.67951,                0.66547,                0.90866,                 0.1526,                0.14614,                0.12879,                0.10924,                 0.1526,                0.14614,                0.12967,                0.10758,                0.94878,                 2.6818,                  3.398,                 1.1455,              0.0005644,              0.0005644,              0.0005644
                     91,                0.50234,                0.66373,                0.66626,                0.91397,                0.13273,                0.16455,                 0.1362,                 0.1132,                0.13273,                0.16455,                 0.1362,                0.10929,                0.95515,                 2.7119,                 3.4095,                 1.1382,             0.00055945,             0.00055945,             0.00055945
                     92,                0.46125,                0.63309,                0.63425,                0.91534,                0.12586,                0.17929,                 0.1402,                 0.1136,                0.12586,                0.17929,                0.13787,                 0.1107,                 0.9105,                 2.7787,                 3.4039,                 1.1202,              0.0005545,              0.0005545,              0.0005545
                     93,                0.47273,                0.64996,                0.62849,                0.89848,                0.11964,                0.19117,                 0.1422,                0.11596,                0.11964,                0.19117,                 0.1379,                 0.1135,                0.94209,                 2.7963,                  3.398,                 1.1585,             0.00054955,             0.00054955,             0.00054955
                     94,                0.46983,                0.61404,                0.61488,                0.90474,                0.18101,                0.13783,                0.15504,                0.13099,                0.18101,                0.13783,                0.15539,                0.12385,                 0.9295,                 2.8964,                 3.2836,                 1.1333,              0.0005446,              0.0005446,              0.0005446
                     95,                0.45688,                 0.6107,                0.60381,                0.91796,                0.18217,                0.19233,                0.17988,                0.15233,                0.18217,                0.19233,                0.17915,                0.14893,                 0.9112,                  3.101,                 3.2487,                 1.1226,             0.00053965,             0.00053965,             0.00053965
                     96,                0.44366,                0.62769,                0.62359,                0.89367,                0.20335,                0.28106,                0.17121,                0.14577,                0.20335,                0.28106,                 0.1692,                0.13917,                0.90879,                 2.7947,                   3.44,                 1.1367,              0.0005347,              0.0005347,              0.0005347
                     97,                0.46667,                0.65242,                 0.5985,                0.90123,                0.13876,                0.19683,                0.15091,                0.12647,                0.13876,                0.19683,                  0.151,                 0.1302,                0.93864,                 2.7117,                 3.4715,                 1.1358,             0.00052975,             0.00052975,             0.00052975
                     98,                0.46234,                0.63106,                0.59083,                0.89563,                0.17749,                0.20284,                 0.1436,                 0.1113,                0.17749,                0.20284,                0.15082,                0.11935,                0.97948,                 2.6828,                 3.5226,                 1.1707,              0.0005248,              0.0005248,              0.0005248
                     99,                0.44622,                0.62911,                0.55198,                0.89765,                0.19276,                0.21723,                0.17059,                0.13242,                0.19276,                0.21723,                0.17142,                0.13844,                0.91871,                 2.6774,                 3.3287,                 1.1173,             0.00051985,             0.00051985,             0.00051985
                    100,                0.42986,                0.62822,                0.58619,                0.89508,                0.21091,                0.28492,                0.18861,                0.15749,                0.21091,                0.28492,                0.18956,                0.15759,                0.95066,                 2.6432,                 3.2924,                 1.1564,              0.0005149,              0.0005149,              0.0005149
                    101,                0.45465,                0.65417,                0.58458,                0.89404,                0.14055,                0.16356,                0.13619,                0.10747,                0.14055,                0.16356,                0.13602,                0.11056,                 0.9046,                 2.6092,                 3.4933,                  1.099,             0.00050995,             0.00050995,             0.00050995
                    102,                0.44886,                0.63173,                0.59244,                0.90086,                0.14193,                0.16356,                0.13359,                0.10938,                0.14193,                0.16356,                0.13195,                0.11207,                0.86823,                 2.5676,                 3.5189,                 1.0649,               0.000505,               0.000505,               0.000505
                    103,                0.44492,                0.63312,                0.56342,                0.90152,                0.16744,                0.17573,                0.14165,                0.11597,                0.16744,                0.17573,                0.13972,                0.12042,                0.88735,                 2.5404,                 3.5741,                 1.0812,             0.00050005,             0.00050005,             0.00050005
